course,may_not_receive
ANTH-100,ANTH-212
ATTR-210,ATTR-185
ATTR-401,ATTR-208
ATTR-320,ATTR-222
ATTR-333,ATTR-245
ATTR-420,ATTR-322
ATTR-402,ATTR-381
ATTR-403,ATTR-382
ATTR-370,ATTR-407
BIOL-106,BIOL-105 
BIOL-210,BIOL-201
BIOL-210,BIOL-202
BIOL-432,BIOL-333
BIOL-354,BIOL-345
BUAD-101,BUAD-103
BUAD-200,BUAD-300
CHEM-306,CHEM-212
CHEM-306,CHEM-406
COMM-234,COMM-134
COMM-243,COMM-136
COMM-343,COMM-236
COMM-297,COMM-301
COMM-317,COMM-315
COMM-317,COMM-316
COMM-317,COMM-371
COMM-248,COMM-443
ECON-150,ECON-211
ECON-150,ECON-212
ECON-312,ECON-305
ECON-311,ECON-306
EDFN-210,EDUC-210
EDFN-210,EDUC-305
SCED-318,EDUC-318
SCED-319,EDUC-319
PHED-470,EDUC-403
PHED-471,EDUC-404
SCED-416,EDUC-409
SCED-367,EDUC-467
PHED-481,EDUC-478
ENGL-364,ENGL-208
FILM-220,ENGL-220
ENGL-356,ENGL-242
ENGL-221,ENGL-321
FILM-322,ENGL-322
FILM-323,ENGL-323
FILM-324,ENGL-324
ENGL-345,ENGL-327
ENGL-387,ENGL-329
ENGL-381,ENGL-332
ENGL-410,ENGL-343
ENGL-256,ENGL-370
ENGL-258,ENGL-386
ENGL-489,ENGL-389
FILM-401,ENGL-401
FILM-402,ENGL-402
FILM-324,ENGL-403
FILM-404,ENGL-404
FILM-406,ENGL-406
FILM-408,ENGL-408
ENGL-472,ENGL-414
ENGL-413,ENGL-419
ENGL-473,ENGL-420
ENGL-480,ENGL-426
ENGL-368,ENGL-450
ENGL-485,ENGL-458
BIOL-110,ENVH-110
BIOL-425,ENVH-425
EXSC-305,EXSC-295
EXSC-250,EXSC-312
EXSC-344,EXSC-332
PHED-333,EXSC-333
PHED-333,EXSC-344
EXSC-472,EXSC-481
ENGL-405,FILM-323
ENGL-405,FILM-405
FREN-317,FREN-417
FREN-319,FREN-419
FREN-323,FREN-423
FREN-324,FREN-424
FREN-325,FREN-425
FREN-351,FREN-451
FREN-352,FREN-452
HLSC-102,FTWL-102
GEOG-104,GEOG-105
BIOL-150,GEOG-150
GEOG-102,GEOG-301
ENGR-425,GEOL-425
GSST-213,HIST-213
HIST-451,HIST-381
HIST-314,HIST-444
HIST-315,HIST-445
FTWL-106,HLSC-106
HLSC-102,HLTH-102
EXSC-317,HLTH-217
HLTH-312,HLTH-240
HLTH-361,HLTH-260
EXSC-317,HLTH-317
EDUC-462,HLTH-470
EDUC-462,HLTH-471
GSST-213,IDIS-213
IDIS-435,IDIS-330
INFO-111,INFO-211
INFO-470,INFO-471
INFO-311,INFO-475
MATH-140,MATH-100
MATH-140,MATH-102
MATH-130,MATH-103
MATH-230,MATH-104
MATH-140,MATH-118
MATH-140,MATH-122
MATH-140,MATH-135
MATH-155,MATH-150
MATH-155,MATH-151
MATH-198,MATH-201
MATH-155,MATH-213
MATH-155,MATH-216
MATH-155,MATH-293
MATH-155,MATH-306
COSC-482,MATH-482
FREN-241,MDFL-241
FREN-349,MDFL-300
BIOL-115,MDTC-101
BIOL-214,MDTC-201
MGMT-350,MGMT-450
MKTG-335,MKTG-438
MUMT-202,MUSC-202
NURS-422,NURS-424
NURS-422,NURS-426
NURS-423,NURS-425
NURS-423,NURS-427
FTWL-106,PHEC-106
FTWL-107,PHEC-107
ODEL-200,PHEC-200
ODEL-201,PHEC-201
ODEL-203,PHEC-203
ODEL-205,PHEC-205
ODEL-210,PHEC-210
ODEL-212,PHEC-212
ODEL-220,PHEC-220
ATTR-213,PHEC-313
EXSC-333,PHEC-333
ODEL-371,PHEC-371
PHED-175,PHED-108
PHED-135,PHED-235
PHED-261,PHED-345
IDIS-240,PHIL-240
PHIL-212,PHIL-312
PHIL-368,PHIL-450
CHEM-101,PHYS-101
PHYS-108,PHYS-109
MATH-309,PHYS-309
COSC-250,PHYS-322
POSC-112,POSC-102
IDIS-245,POSC-245
IDIS-240,PSYC-240
PSYC-200,PSYC-300
PSYC-250,PSYC-320
GENL-101,PSYC-325
ODEL-255,SCED-200
SOCI-314,SOCI-216
CADR-225,SOCI-225
SOCI-220,SOCI-316
THEA-110,THEA-121
THEA-130,THEA-201
GEOG-308,URPL-308
GEOG-328,URPL-328
GEOG-363,URPL-363
GEOG-402,URPL-402
GEOG-408,URPL-408
GEOG-416,URPL-416
SCED-300,ELED-304
SCED-300,EDUC-300
BIOL-305,BIOL-421
SCED-300,ELED-305
ENGL-383,ENGL-382
BIOL-334,BIOL-354